"","WC.Z","SD.Z","ID","hour"
"7162",-1.31475529254979,0.128549500263188,"X280_2019",4
"7182",0.269927930154462,0.101316678956745,"X280_2019",5
"7202",0.269927930154462,0.101316678956745,"X280_2019",6
"7221",0.269927930154462,0.101316678956745,"X280_2019",7
"7241",0.269927930154462,0.101316678956745,"X280_2019",8
"7261",0.269927930154462,0.101316678956745,"X280_2019",9
"7282",0.269927930154462,0.101316678956745,"X280_2019",10
"7301",0.269927930154462,0.101316678956745,"X280_2019",11
"7321",0.269927930154462,0.101316678956745,"X280_2019",12
"7341",0.269927930154462,0.101316678956745,"X280_2019",13
"7362",0.269927930154462,0.101316678956745,"X280_2019",14
"7381",0.269927930154462,0.101316678956745,"X280_2019",15
"7401",0.269927930154462,0.101316678956745,"X280_2019",16
"7421",0.269927930154462,0.101316678956745,"X280_2019",17
"7441",0.269927930154462,0.101316678956745,"X280_2019",18
"7461",0.269927930154462,0.101316678956745,"X280_2019",19
"7481",0.269927930154462,0.101316678956745,"X280_2019",20
"7501",0.269927930154462,0.101316678956745,"X280_2019",21
"7522",0.269927930154462,0.101316678956745,"X280_2019",22
"7533",0.269927930154462,0.101316678956745,"X280_2019",23
"7553",0.269927930154462,0.101316678956745,"X280_2019",0
"7573",0.269927930154462,0.101316678956745,"X280_2019",1
"7593",0.269927930154462,0.101316678956745,"X280_2019",2
"7615",0.269927930154462,0.101316678956745,"X280_2019",3
"7632",0.269927930154462,0.101316678956745,"X280_2019",4
"7652",-1.65115526177674,0.101316678956745,"X280_2019",5
"7672",-1.65115526177674,0.101316678956745,"X280_2019",6
"7691",-1.65115526177674,0.101316678956745,"X280_2019",7
"7713",-1.65115526177674,0.101316678956745,"X280_2019",8
"7732",-1.65115526177674,0.101316678956745,"X280_2019",9
"7751",-1.65115526177674,0.101316678956745,"X280_2019",10
"7771",-1.65115526177674,0.101316678956745,"X280_2019",11
"7791",-1.65115526177674,0.101316678956745,"X280_2019",12
"7816",-1.65115526177674,0.101316678956745,"X280_2019",13
"7831",-1.65115526177674,0.101316678956745,"X280_2019",14
"7851",-1.65115526177674,0.101316678956745,"X280_2019",15
"7871",-1.65115526177674,0.101316678956745,"X280_2019",16
"7891",-1.65115526177674,0.101316678956745,"X280_2019",17
"7913",-1.65115526177674,0.101316678956745,"X280_2019",18
"7931",-1.65115526177674,0.101316678956745,"X280_2019",19
"795",-1.65115526177674,0.101316678956745,"X280_2019",20
"7971",-1.65115526177674,0.101316678956745,"X280_2019",21
"7992",-1.65115526177674,0.101316678956745,"X280_2019",22
"8003",-1.65115526177674,0.101316678956745,"X280_2019",23
"8023",-1.65115526177674,0.101316678956745,"X280_2019",0
"8043",-1.65115526177674,0.101316678956745,"X280_2019",1
"8062",-1.65115526177674,0.101316678956745,"X280_2019",2
"8082",-1.65115526177674,0.101316678956745,"X280_2019",3
"8102",-1.65115526177674,0.101316678956745,"X280_2019",4
"8122",-0.842210256637231,0.074083857650302,"X280_2019",5
"8142",-0.842210256637231,0.074083857650302,"X280_2019",6
"8161",-0.842210256637231,0.074083857650302,"X280_2019",7
"8182",-0.842210256637231,0.074083857650302,"X280_2019",8
"8201",-0.842210256637231,0.074083857650302,"X280_2019",9
"8221",-0.842210256637231,0.074083857650302,"X280_2019",10
"8241",-0.842210256637231,0.074083857650302,"X280_2019",11
"8262",-0.842210256637231,0.074083857650302,"X280_2019",12
"8281",-0.842210256637231,0.074083857650302,"X280_2019",13
"8301",-0.842210256637231,0.074083857650302,"X280_2019",14
"8321",-0.842210256637231,0.074083857650302,"X280_2019",15
"8341",-0.842210256637231,0.074083857650302,"X280_2019",16
"8361",-0.842210256637231,0.074083857650302,"X280_2019",17
"8381",-0.842210256637231,0.074083857650302,"X280_2019",18
"8402",-0.842210256637231,0.074083857650302,"X280_2019",19
"8421",-0.842210256637231,0.074083857650302,"X280_2019",20
"8441",-0.842210256637231,0.074083857650302,"X280_2019",21
"8462",-0.842210256637231,0.074083857650302,"X280_2019",22
"8473",-0.842210256637231,0.074083857650302,"X280_2019",23
"8493",-0.842210256637231,0.074083857650302,"X280_2019",0
"8514",-0.842210256637231,0.074083857650302,"X280_2019",1
"8532",-0.842210256637231,0.074083857650302,"X280_2019",2
"8552",-0.842210256637231,0.074083857650302,"X280_2019",3
"8572",-0.842210256637231,0.074083857650302,"X280_2019",4
"8592",-1.02009250084583,0.074083857650302,"X280_2019",5
"8615",-1.02009250084583,0.074083857650302,"X280_2019",6
"8631",-1.02009250084583,0.074083857650302,"X280_2019",7
"8651",-1.02009250084583,0.074083857650302,"X280_2019",8
"8671",-1.02009250084583,0.074083857650302,"X280_2019",9
"8691",-1.02009250084583,0.074083857650302,"X280_2019",10
"8716",-1.02009250084583,0.074083857650302,"X280_2019",11
"8731",-1.02009250084583,0.074083857650302,"X280_2019",12
"8751",-1.02009250084583,0.074083857650302,"X280_2019",13
"8771",-1.02009250084583,0.074083857650302,"X280_2019",14
"8791",-1.02009250084583,0.074083857650302,"X280_2019",15
"8812",-1.02009250084583,0.074083857650302,"X280_2019",16
"8831",-1.02009250084583,0.074083857650302,"X280_2019",17
"8851",-1.02009250084583,0.074083857650302,"X280_2019",18
"8871",-1.02009250084583,0.074083857650302,"X280_2019",19
"8891",-1.02009250084583,0.074083857650302,"X280_2019",20
"8915",-1.02009250084583,0.074083857650302,"X280_2019",21
"8932",-1.02009250084583,0.074083857650302,"X280_2019",22
"8943",-1.02009250084583,0.074083857650302,"X280_2019",23
"8962",-1.02009250084583,0.074083857650302,"X280_2019",0
"8982",-1.02009250084583,0.074083857650302,"X280_2019",1
"9002",-1.02009250084583,0.074083857650302,"X280_2019",2
"9022",-1.02009250084583,0.074083857650302,"X280_2019",3
"9042",-1.02009250084583,0.074083857650302,"X280_2019",4
"9062",-1.62082281576332,0.155782321569631,"X280_2019",5
"9082",-1.62082281576332,0.155782321569631,"X280_2019",6
"9107",-1.62082281576332,0.155782321569631,"X280_2019",7
"9121",-1.62082281576332,0.155782321569631,"X280_2019",8
"9141",-1.62082281576332,0.155782321569631,"X280_2019",9
"9162",-1.62082281576332,0.155782321569631,"X280_2019",10
"9181",-1.62082281576332,0.155782321569631,"X280_2019",11
"9201",-1.62082281576332,0.155782321569631,"X280_2019",12
"9221",-1.62082281576332,0.155782321569631,"X280_2019",13
"9241",-1.62082281576332,0.155782321569631,"X280_2019",14
"9261",-1.62082281576332,0.155782321569631,"X280_2019",15
"9281",-1.62082281576332,0.155782321569631,"X280_2019",16
"9301",-1.62082281576332,0.155782321569631,"X280_2019",17
"9321",-1.62082281576332,0.155782321569631,"X280_2019",18
"9341",-1.62082281576332,0.155782321569631,"X280_2019",19
"9361",-1.62082281576332,0.155782321569631,"X280_2019",20
"9381",-1.62082281576332,0.155782321569631,"X280_2019",21
