STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/8/2018,11.41,,,,0,,0.1,7.1,20,24,-2,,320,310,,,21.9,29.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/9/2018,2.91,,,,0,,0,7.1,10,26,-10,,270,230,,,15,19.9,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/10/2018,2.68,,,,0.39,,5.2,11,23,31,18,,10,350,,,8.1,10.1,1,1,,,,1,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/11/2018,7.83,,,,0.24,,0,11.8,31,34,30,,10,360,,,16.1,19.9,1,1,,1,,1,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/12/2018,8.5,,,,0,,0,7.1,33,35,20,,310,300,,,19.9,31.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/13/2018,7.16,,,,0,,0,7.1,18,24,4,,320,320,,,18.1,23,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/14/2018,5.59,,,,0,,0,7.1,26,41,9,,200,210,,,14.1,19.9,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/15/2018,4.03,,,,0,,0,5.9,28,43,12,,180,170,,,16.1,21,1,1,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/16/2018,8.95,,,,0.02,,0,5.1,35,43,20,,310,310,,,36,47,1,1,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/17/2018,6.71,,,,0,,0,3.9,21,27,13,,330,320,,,23,25.9,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/18/2018,7.61,,,,0.17,,2,5.9,30,37,10,,320,330,,,21.9,28,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/19/2018,7.83,,,,0.04,,0,5.9,26,41,6,,180,170,,,23.9,32,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/20/2018,2.01,,,,0.18,,0,3.1,37,41,34,,50,50,,,14.1,15,1,1,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/21/2018,8.5,,,,0,,0,2,40,57,34,,330,330,,,32,40,1,1,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/22/2018,7.83,,,,0,,0,0,34,38,22,,330,330,,,23.9,28,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/23/2018,7.38,,,,0.06,,0.4,0,25,34,17,,190,190,,,16.1,21.9,1,,,1,,1,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/24/2018,9.4,,,,0,,0,0,37,47,28,,320,310,,,21.9,29.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/25/2018,6.04,,,,0.16,,1.1,0,29,34,24,,150,130,,,18.1,23.9,1,1,,,,1,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/26/2018,6.04,,,,0,,0,1.2,37,47,27,,300,280,,,17,25.9,1,1,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/27/2018,6.49,,,,0,,0,0,36,47,24,,310,300,,,16.1,21.9,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/28/2018,3.36,,,,0,,0,0,39,50,25,,120,120,,,10.1,13,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/1/2018,8.05,,,,0.02,,0,0,38,45,31,,20,20,,,17,21,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/2/2018,18.57,,,,0.01,,0,0,34,41,30,,10,50,,,29.1,38.9,1,,,,,1,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/3/2018,19.01,,,,0,,0,0,37,42,34,,30,30,,,32,40.9,,,,,,,1,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/4/2018,15.88,,,,0,,0,0,36,39,33,,20,30,,,23.9,32,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/5/2018,17.22,,,,0,,0,0,36,42,32,,30,30,,,30,35.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/6/2018,14.76,,,,0,,0,0,34,41,31,,20,30,,,23.9,31.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/7/2018,10.96,,,,0.04,,1.2,0,32,35,29,,30,30,,,17,25.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/8/2018,17.22,,,,0.38,,9,5.1,31,33,29,,50,30,,,31.1,46.1,1,1,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/9/2018,4.47,,,,0.05,,0.4,9.8,31,39,19,,290,290,,,10.1,16.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/10/2018,10.07,,,,0.01,,0.4,9.8,32,36,28,,310,290,,,18.1,28,1,,,,,,1,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/11/2018,7.83,,,,0,,0,9.8,33,38,22,,310,310,,,18.1,23,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/12/2018,5.14,,,,0,,0,9.1,30,40,13,,90,90,,,16.1,21,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/13/2018,18.12,,,,0.65,,14.6,7.9,32,33,29,,360,360,,,30,38.9,1,1,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/14/2018,8.28,,,,0.47,,6.3,28,33,35,31,,350,340,,,19.9,25.9,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/15/2018,7.83,,,,0.04,,0.6,29.9,33,39,29,,300,300,,,18.1,31.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/16/2018,14.32,,,,0,,0,28,30,34,22,,320,330,,,29.1,42.9,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/17/2018,15.21,,,,0,,0,26,20,23,11,,320,310,,,30,40,,,,,,,,
