Roost ~ Basal Area + Wind Chill + BA*WC + BA|IND
"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"BA.Z",1.21936150836527,0.121316584288954,0.980661847584174,1.21910008968881,1.45926302265165,1.21856817741485,3.04210841290658e-05
"WC_prev",-2.10035610539426,1.47274965773026,-4.9920611247403,-2.10031681271865,0.788402831008858,-2.10011219861524,3.825292006442e-07
"StepLength.Z",0.109052601101861,0.0328986607722137,0.0435837614581961,0.109354193784438,0.172787440098925,0.109954751789896,2.94773510190491e-07
"BA.Z:WC_prev",-0.00876066237187849,0.00380060321356708,-0.016266307121889,-0.00874597383776007,-0.00134368291525944,-0.00871643376220858,4.66606678436497e-07
"","mean","sd","0.025quant","0.5quant","0.975quant","mode"
"Precision for ID",6.51812810575709,2.88076878055476,2.59509461713153,5.95748560825784,13.7457489948121,5.00768825636656
Posterior Mean of Variance: 
0.1833963
Posterior Mode of Variance: 
0.1412446

$StratID
$StratID$index.1
                x            y
[46,]  -15.9441884 3.987159e-02
[47,]  -15.3081402 3.913034e-02
[48,]  -14.6659821 3.822844e-02
[49,]  -13.9964199 3.713599e-02
[50,]  -13.3175560 3.588478e-02
[51,]  -12.6003862 3.442456e-02
[52,]  -11.8557268 3.278049e-02
[53,]  -11.0808099 3.095801e-02
[54,]  -10.2344294 2.887105e-02
[55,]   -9.3302127 2.657147e-02
[56,]   -8.3451685 2.403458e-02
[57,]   -7.2429219 2.121990e-02
[58,]   -5.9672261 1.807634e-02
[59,]   -4.4320450 1.456513e-02
[60,]   -2.4447445 1.060889e-02
[61,]    0.5980587 6.017711e-03
[62,]    4.1465397 2.741665e-03
[63,]    6.5562768 1.488809e-03
[64,]   10.6514064 4.574445e-04
[65,]   11.5474024 3.449978e-04
[66,]   13.4964633 1.813037e-04
[67,]   17.6592846 4.003935e-05
[68,]   20.3404007 1.371988e-05
[69,]   22.9319528 4.528444e-06
[70,]   27.6592739 4.980116e-07
[71,]   30.0293950 1.504452e-07
[72,]   32.0051135 5.296736e-08
[73,]   39.7183893 6.021176e-10
[74,]   59.0963780 4.657314e-16
[75,]   78.4743666 6.274427e-24

$StratID$index.5
                 x            y
 [1,] -134.8898742 4.957167e-24
 [2,] -103.7862269 3.257195e-16
 [3,]  -72.6825797 3.917007e-10
 [4,]  -60.2518838 3.443125e-08
 [5,]  -57.1307561 9.582332e-08
 [6,]  -53.4245177 3.066207e-07
 [7,]  -45.8119857 2.797430e-06
 [8,]  -41.5789324 8.622717e-06
 [9,]  -37.2789970 2.507888e-05
[10,]  -30.6337738 1.123464e-04
[11,]  -27.5179410 2.131137e-04
[12,]  -26.0271088 2.854201e-04
[13,]  -19.5114621 9.186307e-04
[14,]  -15.6220876 1.697616e-03
[15,]   -9.9136193 3.733208e-03
[16,]   -4.9929740 6.608948e-03
[17,]   -1.7803738 9.091176e-03
[18,]    0.6654273 1.126231e-02
[19,]    2.7032020 1.321038e-02
[20,]    4.4811793 1.497195e-02
[21,]    6.0791453 1.656892e-02
[22,]    7.5170775 1.798798e-02
[23,]    8.8502519 1.926431e-02
[24,]   10.1184624 2.042265e-02
[25,]   11.3137722 2.144713e-02
[26,]   12.4499971 2.234585e-02
[27,]   13.5624397 2.314226e-02
[28,]   14.6166408 2.381045e-02
[29,]   15.6609845 2.438070e-02
[30,]   16.6732228 2.483932e-02
[31,]   17.6760416 2.519670e-02
[32,]   18.6624737 2.544981e-02
[33,]   19.0570465 2.552300e-02
[34,]   19.4489554 2.557960e-02
[35,]   19.6440777 2.560176e-02
[36,]   19.8391999 2.561991e-02
[37,]   20.2294444 2.564413e-02
[38,]   20.6196889 2.565221e-02
[39,]   21.0099334 2.564415e-02
[40,]   21.4013040 2.561986e-02
[41,]   21.5971621 2.560163e-02
[42,]   21.7930201 2.557935e-02
[43,]   22.1847363 2.552270e-02
[44,]   22.5764524 2.545003e-02
[45,]   23.5662588 2.519599e-02
[46,]   24.5638929 2.484048e-02
[47,]   25.5843993 2.437800e-02
[48,]   26.6158683 2.381487e-02
[49,]   27.6901228 2.313377e-02
[50,]   28.7789501 2.235420e-02
[51,]   29.9316099 2.144270e-02
[52,]   31.1262062 2.041854e-02
[53,]   32.3720430 1.928095e-02
[54,]   33.7302983 1.798086e-02
[55,]   35.1814142 1.654853e-02
[56,]   36.7624787 1.496842e-02
[57,]   38.5321461 1.321508e-02
[58,]   40.5810910 1.125643e-02
[59,]   43.0479829 9.068162e-03
[60,]   46.2385087 6.605317e-03
[61,]   51.1292860 3.744927e-03
[62,]   56.8305072 1.705849e-03
[63,]   60.7027345 9.262201e-04
[64,]   67.2838329 2.845674e-04
[65,]   68.7242651 2.146016e-04
[66,]   71.8565615 1.127919e-04
[67,]   78.5523672 2.489052e-05
[68,]   82.8356565 8.590520e-06
[69,]   87.0259929 2.819395e-06
[70,]   94.6277512 3.103848e-07
[71,]   98.3874801 9.541437e-08
[72,]  101.6309416 3.290647e-08
[73,]  113.9393038 3.899241e-10
[74,]  145.0429510 3.243962e-16
[75,]  176.1465982 4.946330e-24

$StratID$index.6
                 x            y
 [1,] -135.3208675 4.956969e-24
 [2,] -104.2183903 3.257088e-16
 [3,]  -73.1159132 3.916922e-10
 [4,]  -60.6855684 3.443203e-08
 [5,]  -57.5646746 9.582191e-08
 [6,]  -53.8583960 3.066336e-07
 [7,]  -46.2461460 2.797546e-06
 [8,]  -42.0134360 8.622661e-06
 [9,]  -37.7135139 2.507967e-05
[10,]  -31.0684992 1.123509e-04
[11,]  -27.9528064 2.131211e-04
[12,]  -26.4621974 2.854209e-04
[13,]  -19.9466099 9.186653e-04
[14,]  -16.0573771 1.697681e-03
[15,]  -10.3491207 3.733349e-03
[16,]   -5.4286739 6.609186e-03
[17,]   -2.2161678 9.091525e-03
[18,]    0.2295194 1.126271e-02
[19,]    2.2672214 1.321086e-02
[20,]    4.0451320 1.497250e-02
[21,]    5.6430362 1.656952e-02
[22,]    7.0809311 1.798865e-02
[23,]    8.4140497 1.926503e-02
[24,]    9.6822080 2.042340e-02
[25,]   10.8774833 2.144793e-02
[26,]   12.0136602 2.234668e-02
[27,]   13.1260577 2.314311e-02
[28,]   14.1802252 2.381133e-02
[29,]   15.2245269 2.438160e-02
[30,]   16.2367312 2.484024e-02
[31,]   17.2395106 2.519763e-02
[32,]   18.2259081 2.545075e-02
[33,]   18.6204671 2.552394e-02
[34,]   19.0123596 2.558054e-02
[35,]   19.2074747 2.560271e-02
[36,]   19.4025898 2.562085e-02
[37,]   19.7928200 2.564508e-02
[38,]   20.1830502 2.565316e-02
[39,]   20.5732803 2.564510e-02
[40,]   20.9646369 2.562081e-02
[41,]   21.1604875 2.560257e-02
[42,]   21.3563381 2.558029e-02
[43,]   21.7480392 2.552365e-02
[44,]   22.1397404 2.545097e-02
[45,]   23.1295117 2.519692e-02
[46,]   24.1271061 2.484140e-02
[47,]   25.1475776 2.437890e-02
[48,]   26.1790038 2.381575e-02
[49,]   27.2532222 2.313463e-02
[50,]   28.3420155 2.235502e-02
[51,]   29.4946236 2.144350e-02
[52,]   30.6891818 2.041929e-02
[53,]   31.9349606 1.928168e-02
[54,]   33.2931701 1.798153e-02
[55,]   34.7442375 1.654914e-02
[56,]   36.3252482 1.496897e-02
[57,]   38.0948528 1.321556e-02
[58,]   40.1437200 1.125684e-02
[59,]   42.6105099 9.068501e-03
[60,]   45.8009310 6.605555e-03
[61,]   50.6914987 3.745074e-03
[62,]   56.3925044 1.705918e-03
[63,]   60.2645826 9.262587e-04
[64,]   66.8452341 2.845906e-04
[65,]   68.2858763 2.146081e-04
[66,]   71.4179978 1.127968e-04
[67,]   78.1136013 2.489132e-05
[68,]   82.3964726 8.591368e-06
[69,]   86.5868573 2.819527e-06
[70,]   94.1883273 3.104003e-07
[71,]   97.9477112 9.542552e-08
[72,]  101.1913012 3.290768e-08
[73,]  113.4989498 3.899771e-10
[74,]  144.6014270 3.244538e-16
[75,]  175.7039041 4.947397e-24

$StratID$index.7
                x            y
 [1,] -135.340353 4.956991e-24
 [2,] -104.237824 3.257099e-16
 [3,]  -73.135294 3.916931e-10
 [4,]  -60.704936 3.443201e-08
 [5,]  -57.584030 9.582208e-08
 [6,]  -53.877757 3.066330e-07
 [7,]  -46.265494 2.797541e-06
 [8,]  -42.032765 8.622671e-06
 [9,]  -37.732845 2.507964e-05
[10,]  -31.087822 1.123507e-04
[11,]  -27.972122 2.131208e-04
[12,]  -26.481500 2.854210e-04
[13,]  -19.965913 9.186637e-04
[14,]  -16.076674 1.697678e-03
[15,]  -10.368409 3.733342e-03
[16,]   -5.447953 6.609175e-03
[17,]   -2.235443 9.091509e-03
[18,]    0.210250 1.126270e-02
[19,]    2.247955 1.321084e-02
[20,]    4.025869 1.497248e-02
[21,]    5.623776 1.656949e-02
[22,]    7.061672 1.798862e-02
[23,]    8.394793 1.926500e-02
[24,]    9.662954 2.042337e-02
[25,]   10.858231 2.144789e-02
[26,]   11.994410 2.234665e-02
[27,]   13.106809 2.314307e-02
[28,]   14.160978 2.381129e-02
[29,]   15.205282 2.438156e-02
[30,]   16.217488 2.484020e-02
[31,]   17.220269 2.519759e-02
[32,]   18.206668 2.545071e-02
[33,]   18.601227 2.552390e-02
[34,]   18.993121 2.558050e-02
[35,]   19.188236 2.560266e-02
[36,]   19.383351 2.562081e-02
[37,]   19.773582 2.564503e-02
[38,]   20.163813 2.565312e-02
[39,]   20.554044 2.564506e-02
[40,]   20.945401 2.562077e-02
[41,]   21.141252 2.560253e-02
[42,]   21.337103 2.558025e-02
[43,]   21.728805 2.552360e-02
[44,]   22.120507 2.545093e-02
[45,]   23.110279 2.519688e-02
[46,]   24.107876 2.484136e-02
[47,]   25.128349 2.437886e-02
[48,]   26.159777 2.381571e-02
[49,]   27.233997 2.313459e-02
[50,]   28.322792 2.235499e-02
[51,]   29.475402 2.144346e-02
[52,]   30.669962 2.041926e-02
[53,]   31.915743 1.928164e-02
[54,]   33.273955 1.798150e-02
[55,]   34.725024 1.654911e-02
[56,]   36.306037 1.496894e-02
[57,]   38.075645 1.321554e-02
[58,]   40.124515 1.125683e-02
[59,]   42.591310 9.068486e-03
[60,]   45.781735 6.605545e-03
[61,]   50.672313 3.745067e-03
[62,]   56.373328 1.705915e-03
[63,]   60.245413 9.262569e-04
[64,]   66.826088 2.845893e-04
[65,]   68.266716 2.146079e-04
[66,]   71.398847 1.127965e-04
[67,]   78.094458 2.489129e-05
[68,]   82.377353 8.591320e-06
[69,]   86.567732 2.819521e-06
[70,]   94.169215 3.103995e-07
[71,]   97.928618 9.542487e-08
[72,]  101.172197 3.290763e-08
[73,]  113.479883 3.899740e-10
[74,]  144.582412 3.244502e-16
[75,]  175.684942 4.947328e-24

$StratID$index.8
                 x            y
 [1,] -135.3705339 4.957018e-24
 [2,] -104.2679853 3.257114e-16
 [3,]  -73.1654368 3.916944e-10
 [4,]  -60.7350788 3.443202e-08
 [5,]  -57.6141625 9.582234e-08
 [6,]  -53.9078988 3.066327e-07
 [7,]  -46.2956316 2.797538e-06
 [8,]  -42.0628882 8.622690e-06
 [9,]  -37.7629752 2.507963e-05
[10,]  -31.1179503 1.123506e-04
[11,]  -28.0022474 2.131207e-04
[12,]  -26.5116139 2.854215e-04
[13,]  -19.9960347 9.186632e-04
[14,]  -16.1067936 1.697676e-03
[15,]  -10.3985243 3.733340e-03
[16,]   -5.4780645 6.609172e-03
[17,]   -2.2655543 9.091503e-03
[18,]    0.1801413 1.126269e-02
[19,]    2.2178475 1.321083e-02
[20,]    3.9957621 1.497247e-02
[21,]    5.5936702 1.656949e-02
[22,]    7.0315664 1.798861e-02
[23,]    8.3646888 1.926499e-02
[24,]    9.6328506 2.042336e-02
[25,]   10.8281273 2.144788e-02
[26,]   11.9643074 2.234663e-02
[27,]   13.0767080 2.314306e-02
[28,]   14.1308771 2.381128e-02
[29,]   15.1751815 2.438155e-02
[30,]   16.1873877 2.484019e-02
[31,]   17.1901696 2.519758e-02
[32,]   18.1765691 2.545070e-02
[33,]   18.5711289 2.552389e-02
[34,]   18.9630225 2.558049e-02
[35,]   19.1581380 2.560265e-02
[36,]   19.3532535 2.562080e-02
[37,]   19.7434845 2.564502e-02
[38,]   20.1337156 2.565311e-02
[39,]   20.5239466 2.564504e-02
[40,]   20.9153040 2.562075e-02
[41,]   21.1111550 2.560252e-02
[42,]   21.3070061 2.558024e-02
[43,]   21.6987082 2.552359e-02
[44,]   22.0904103 2.545091e-02
[45,]   23.0801836 2.519687e-02
[46,]   24.0777805 2.484135e-02
[47,]   25.0982539 2.437885e-02
[48,]   26.1296830 2.381570e-02
[49,]   27.2039033 2.313458e-02
[50,]   28.2926983 2.235498e-02
[51,]   29.4453101 2.144345e-02
[52,]   30.6398702 2.041925e-02
[53,]   31.8856532 1.928163e-02
[54,]   33.2438652 1.798149e-02
[55,]   34.6949351 1.654910e-02
[56,]   36.2759487 1.496893e-02
[57,]   38.0455570 1.321553e-02
[58,]   40.0944290 1.125682e-02
[59,]   42.5612256 9.068480e-03
[60,]   45.7516522 6.605541e-03
[61,]   50.6422342 3.745065e-03
[62,]   56.3432531 1.705913e-03
[63,]   60.2153406 9.262561e-04
[64,]   66.7960319 2.845884e-04
[65,]   68.2366447 2.146078e-04
[66,]   71.3687803 1.127964e-04
[67,]   78.0643930 2.489128e-05
[68,]   82.3473062 8.591283e-06
[69,]   86.5376747 2.819518e-06
[70,]   94.1391624 3.103991e-07
[71,]   97.8985805 9.542435e-08
[72,]  101.1421463 3.290761e-08
[73,]  113.4498548 3.899714e-10
[74,]  144.5524034 3.244471e-16
[75,]  175.6549520 4.947268e-24

$StratID$index.9
                 x            y
 [1,] -31.69599351 1.215628e-21
 [2,] -25.09670429 1.628776e-14
 [3,] -18.49741508 5.206821e-09
 [4,] -16.36877571 1.495764e-07
 [5,] -15.19777047 8.145778e-07
 [6,] -14.82017544 1.374806e-06
 [7,] -13.10992719 1.277176e-05
 [8,] -11.89812586 5.380324e-05
 [9,] -11.23598867 1.123129e-04
[10,]  -9.75653951 5.115359e-04
[11,]  -9.05978160 9.819766e-04
[12,]  -8.59848125 1.479351e-03
[13,]  -7.31624969 4.211939e-03
[14,]  -6.46995779 7.792038e-03
[15,]  -5.22938771 1.720447e-02
[16,]  -4.16167386 3.060592e-02
